name,label
kishor negi,indian
gregory,non_indian
vijay bansal,indian
lisette textor b.sc.,non_indian
manoj kaushik,indian
laura santana,non_indian
dominic,non_indian
jagjiwan ram,indian
andrea,non_indian
jiyaul,indian
munender bahuguna,indian
dochia diaconescu,non_indian
brian,non_indian
miss claire stephenson,non_indian
amy williams,non_indian
sawali mahto,indian
eldro korea  kose,indian
răzvan nistor,non_indian
kamlesh kumar,indian
janet ramos,non_indian
elisa kühnert-seifert,non_indian
sandeep kaur,indian
devik jain,indian
viraj ramaswamy,non_indian
dr katy jones,non_indian
stephanie,non_indian
mechthilde steinberg,non_indian
karma kumari,indian
malvina dochioiu,non_indian
krishna   hiralal,indian
genda,indian
om narasimhan,non_indian
ashley chavez,non_indian
dilip singh,indian
deepak sagar,indian
stephanie rice,non_indian
floriana,non_indian
jayden,non_indian
ikshita,non_indian
alberico,non_indian
elaine,non_indian
brian dickerson,non_indian
orazio ossani,non_indian
edwin,non_indian
dott. patrizia ossola,non_indian
cody james,non_indian
elin karlsen,non_indian
marie zimmer,non_indian
max harris,non_indian
petros scholtz b.a.,non_indian
baldev,indian
maria bulzoni,non_indian
sumit chakarwarti,indian
lavali,indian
amandeep,indian
ms frances richards,non_indian
fredrik thomassen,non_indian
julie russo,non_indian
joshua atkinson,non_indian
calvin bell,non_indian
cantemir,non_indian
dwarka parsad,indian
preyank,indian
miruna,non_indian
prabhjeet singh,indian
durga bai,indian
akhil kumar,indian
sanjeet kumar,indian
faizudeen,indian
alice baxter,non_indian
ashley krueger,non_indian
roshan  kumar,indian
brenda snow,non_indian
saroj,indian
harold allen,non_indian
nand kishor  puppu,indian
chameli,indian
hannah,non_indian
basanta,indian
robert,non_indian
jasper,non_indian
balram bhandari,indian
maria zoppetti,non_indian
kheem singh,indian
ianis gheorghiu,non_indian
hannah gomez,non_indian
noor alam,indian
atif,indian
herr zoltan sontag,non_indian
susan douglas,non_indian
nannu ram,indian
gordon harrington,non_indian
dominic pechel-seidel,non_indian
pushpan,indian
derek,non_indian
suhagini,indian
priyansu jain,indian
pramod mahashay,indian
prof. irmtraud kabus,non_indian
keshav dutt,indian
mohan kumar,indian
dharvesh kumar,indian
laura,non_indian
gulnaz,indian
bhabhav uniyal,indian
max,non_indian
chander parkash,indian
gerda,non_indian
vishnu bhagwan,indian
smt mohani bai,indian
meeramai,indian
david gallegos,non_indian
david peters,non_indian
shadhana,indian
gerald velez,non_indian
robert-arild ellingsen,non_indian
mis pushpa rajput,indian
junl ansari,indian
univ.prof. tino köster b.eng.,non_indian
lindsey greene,non_indian
kenneth,non_indian
brett,non_indian
dev,non_indian
teerth bhargava,non_indian
dott. susanna crisafulli,non_indian
tajmaha,indian
ravi dutt,indian
mohm. gulbhar,indian
beth,non_indian
veli,non_indian
gina ene,non_indian
poonam rai,indian
mehvish,indian
laurie,non_indian
sig. martino micca,non_indian
smt. urmila,indian
matthew,non_indian
mrs. alexandra pacheco,non_indian
gaffur khan,indian
rajata sahota,non_indian
smt. kamla devi,indian
saroz,indian
abhishek yadav,indian
cathrine,non_indian
jessica willis,non_indian
trudel junitz b.sc.,non_indian
maurice,non_indian
sahida laskar,indian
bijendra kumar,indian
